0.00.098.770 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.099.194 W srv  llama_server: -----------------
0.00.099.197 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.099.197 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.099.197 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.099.198 W srv  llama_server: -----------------
0.00.100.542 I srv    load_model: loading model '/home/llm/models/Qwen3.8-27B-GGUF/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.07.066.776 I cmn          init: llama threadpool init, n_threads = 16
0.07.255.050 I common_speculative_init_result: creating MTP draft context against the target model '/home/llm/models/Qwen3.8-27B-GGUF/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.07.558.832 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.07.677.003 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.08.087.659 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.08.087.706 I srv  llama_server: model loaded
0.08.087.714 I srv  llama_server: listening on http://127.0.0.1:18081
0.10.066.468 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.31.629.855 I slot print_timing: id  0 | task 480 | n_gen =    959, tg =  14.15 t/s, tg_3s =  12.36 t/s
2.34.706.019 I slot print_timing: id  0 | task 480 | n_gen =   1005, tg =  14.19 t/s, tg_3s =  14.95 t/s
2.37.798.925 I slot print_timing: id  0 | task 480 | n_gen =   1058, tg =  14.31 t/s, tg_3s =  17.14 t/s
2.40.899.809 I slot print_timing: id  0 | task 480 | n_gen =   1103, tg =  14.32 t/s, tg_3s =  14.51 t/s
2.44.003.694 I slot print_timing: id  0 | task 480 | n_gen =   1150, tg =  14.35 t/s, tg_3s =  15.14 t/s
2.47.047.106 I slot print_timing: id  0 | task 480 | prompt eval time =    1180.61 ms /    58 tokens (   20.36 ms per token,    49.13 tokens per second)
2.47.047.111 I slot print_timing: id  0 | task 480 |        eval time =   83111.32 ms /  1200 tokens (   69.32 ms per token,    14.43 tokens per second)
2.47.047.112 I slot print_timing: id  0 | task 480 |       total time =   84291.92 ms /  1258 tokens
2.47.047.113 I slot print_timing: id  0 | task 480 |    graphs reused =       1015
2.47.047.116 I slot print_timing: id  0 | task 480 | draft acceptance = 0.58658 (  647 accepted /  1103 generated), mean len =  2.17
2.47.047.230 I slot      release: id  0 | task 480 | stop processing: n_tokens = 1257, truncated = 0
2.47.053.335 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 13948263094
2.47.380.864 I slot launch_slot_: id  0 | task 1035 | processing task, is_child = 0
2.55.154.980 I slot print_timing: id  0 | task 1035 | n_gen =    102, tg =  15.31 t/s, tg_3s =  15.46 t/s
2.58.278.139 I slot print_timing: id  0 | task 1035 | n_gen =    148, tg =  15.12 t/s, tg_3s =  14.73 t/s
3.01.288.254 I slot print_timing: id  0 | task 1035 | n_gen =    191, tg =  14.92 t/s, tg_3s =  14.29 t/s
3.04.434.383 I slot print_timing: id  0 | task 1035 | n_gen =    245, tg =  15.37 t/s, tg_3s =  17.16 t/s
3.07.454.838 I slot print_timing: id  0 | task 1035 | n_gen =    293, tg =  15.45 t/s, tg_3s =  15.89 t/s
3.10.543.604 I slot print_timing: id  0 | task 1035 | n_gen =    344, tg =  15.60 t/s, tg_3s =  16.51 t/s
3.13.633.324 I slot print_timing: id  0 | task 1035 | n_gen =    380, tg =  15.11 t/s, tg_3s =  11.65 t/s
3.16.643.244 I slot print_timing: id  0 | task 1035 | n_gen =    426, tg =  15.13 t/s, tg_3s =  15.28 t/s
3.19.744.563 I slot print_timing: id  0 | task 1035 | n_gen =    473, tg =  15.13 t/s, tg_3s =  15.15 t/s
3.22.819.326 I slot print_timing: id  0 | task 1035 | n_gen =    525, tg =  15.29 t/s, tg_3s =  16.91 t/s
3.25.931.523 I slot print_timing: id  0 | task 1035 | n_gen =    577, tg =  15.41 t/s, tg_3s =  16.71 t/s
3.29.051.073 I slot print_timing: id  0 | task 1035 | n_gen =    620, tg =  15.29 t/s, tg_3s =  13.78 t/s
3.32.053.521 I slot print_timing: id  0 | task 1035 | n_gen =    662, tg =  15.20 t/s, tg_3s =  13.99 t/s
3.35.098.757 I slot print_timing: id  0 | task 1035 | n_gen =    700, tg =  15.02 t/s, tg_3s =  12.48 t/s
3.38.158.650 I slot print_timing: id  0 | task 1035 | n_gen =    745, tg =  15.00 t/s, tg_3s =  14.71 t/s
3.41.297.084 I slot print_timing: id  0 | task 1035 | n_gen =    800, tg =  15.15 t/s, tg_3s =  17.52 t/s
3.44.302.781 I slot print_timing: id  0 | task 1035 | n_gen =    849, tg =  15.21 t/s, tg_3s =  16.30 t/s
3.47.419.112 I slot print_timing: id  0 | task 1035 | n_gen =    898, tg =  15.24 t/s, tg_3s =  15.72 t/s
3.50.465.600 I slot print_timing: id  0 | task 1035 | n_gen =    948, tg =  15.30 t/s, tg_3s =  16.41 t/s
3.53.584.647 I slot print_timing: id  0 | task 1035 | n_gen =    991, tg =  15.22 t/s, tg_3s =  13.79 t/s
3.56.630.593 I slot print_timing: id  0 | task 1035 | n_gen =   1037, tg =  15.22 t/s, tg_3s =  15.10 t/s
3.59.709.085 I slot print_timing: id  0 | task 1035 | n_gen =   1086, tg =  15.25 t/s, tg_3s =  15.92 t/s
4.02.778.006 I slot print_timing: id  0 | task 1035 | n_gen =   1128, tg =  15.18 t/s, tg_3s =  13.69 t/s
4.05.827.526 I slot print_timing: id  0 | task 1035 | n_gen =   1180, tg =  15.26 t/s, tg_3s =  17.05 t/s
4.06.963.919 I slot print_timing: id  0 | task 1035 | prompt eval time =    1176.68 ms /    61 tokens (   19.29 ms per token,    51.84 tokens per second)
4.06.963.924 I slot print_timing: id  0 | task 1035 |        eval time =   78406.13 ms /  1200 tokens (   65.39 ms per token,    15.29 tokens per second)
4.06.963.925 I slot print_timing: id  0 | task 1035 |       total time =   79582.81 ms /  1261 tokens
4.06.963.929 I slot print_timing: id  0 | task 1035 |    graphs reused =       1536
4.06.963.932 I slot print_timing: id  0 | task 1035 | draft acceptance = 0.63973 (  673 accepted /  1052 generated), mean len =  2.28
4.06.964.111 I slot      release: id  0 | task 1035 | stop processing: n_tokens = 1260, truncated = 0
4.07.005.515 I srv    operator(): operator(): cleaning up before exit...
